date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:09	811/811	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ff26c0a9abaedb1:0%22	https://camerasaigon24h.com/assets/slide/script.js	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/assets/slide/script.js	(from https://camerasaigon24h.com/)
21:15:10	4992/4992	---M--	200	added ('OK')	image/webp	etag:%22ab8ea9adabaedb1:0%22	https://camerasaigon24h.com/camerasaigon24h/images/camera-quan-sat-gia-re.webp	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camerasaigon24h/images/camera-quan-sat-gia-re.webp	(from https://camerasaigon24h.com/)
21:15:10	1000/1000	---M--	200	added ('OK')	image/webp	etag:%2245e2ef7010bcdb1:0%22	https://camerasaigon24h.com/assets/images/icon-menu-danh-muc-san-pham.webp	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/assets/images/icon-menu-danh-muc-san-pham.webp	(from https://camerasaigon24h.com/)
21:15:11	147687/147687	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:38%20GMT	https://camerasaigon24h.com/lap-camera-tron-bo.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/lap-camera-tron-bo.html	(from https://camerasaigon24h.com/)
21:15:11	1274/1274	---M--	200	added ('OK')	image/webp	etag:%228831daeabaedb1:0%22	https://camerasaigon24h.com/camerasaigon24h/images/lap-camera-tron-bo-atp.webp	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camerasaigon24h/images/lap-camera-tron-bo-atp.webp	(from https://camerasaigon24h.com/)
21:15:11	147701/147701	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:38%20GMT	https://camerasaigon24h.com/camera-gia-re-tron-goi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-gia-re-tron-goi.html	(from https://camerasaigon24h.com/)
21:15:13	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:40%20GMT	https://camerasaigon24h.com/lap-camera-dahua-tron-bo.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/lap-camera-dahua-tron-bo.html	(from https://camerasaigon24h.com/)
21:15:13	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:40%20GMT	https://camerasaigon24h.com/bo-camera-dahua-co-thu-am.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-dahua-co-thu-am.html	(from https://camerasaigon24h.com/)
21:15:13	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:40%20GMT	https://camerasaigon24h.com/bo-camera-dahua-full-color.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-dahua-full-color.html	(from https://camerasaigon24h.com/)
21:15:14	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:41%20GMT	https://camerasaigon24h.com/bo-camera-bao-dong-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-bao-dong-dahua.html	(from https://camerasaigon24h.com/)
21:15:14	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:41%20GMT	https://camerasaigon24h.com/lap-camera-hikvision-tron-bo.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/lap-camera-hikvision-tron-bo.html	(from https://camerasaigon24h.com/)
21:15:14	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:41%20GMT	https://camerasaigon24h.com/bo-camera-thu-am-hikvision.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-thu-am-hikvision.html	(from https://camerasaigon24h.com/)
21:15:15	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:42%20GMT	https://camerasaigon24h.com/bo-camera-full-color-hikvision.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-full-color-hikvision.html	(from https://camerasaigon24h.com/)
21:15:15	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:42%20GMT	https://camerasaigon24h.com/bo-camera-bao-dong-hikvision.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-bao-dong-hikvision.html	(from https://camerasaigon24h.com/)
21:15:15	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:42%20GMT	https://camerasaigon24h.com/lap-camera-kbvision-tron-bo.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/lap-camera-kbvision-tron-bo.html	(from https://camerasaigon24h.com/)
21:15:16	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:43%20GMT	https://camerasaigon24h.com/bo-camera-thu-am-kbvision.html.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-thu-am-kbvision.html.html	(from https://camerasaigon24h.com/)
21:15:16	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:43%20GMT	https://camerasaigon24h.com/bo-camera-full-color-kbvision.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-full-color-kbvision.html	(from https://camerasaigon24h.com/)
21:15:16	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:43%20GMT	https://camerasaigon24h.com/bo-camera-chong-trom-kbvision.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-chong-trom-kbvision.html	(from https://camerasaigon24h.com/)
21:15:17	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:44%20GMT	https://camerasaigon24h.com/lap-camera-visioncop-tron-bo.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/lap-camera-visioncop-tron-bo.html	(from https://camerasaigon24h.com/)
21:15:17	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:44%20GMT	https://camerasaigon24h.com/bo-camera-ip-visioncop.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-ip-visioncop.html	(from https://camerasaigon24h.com/)
21:15:18	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:44%20GMT	https://camerasaigon24h.com/bo-camera-thu-am-visioncop.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-thu-am-visioncop.html	(from https://camerasaigon24h.com/)
21:15:18	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:45%20GMT	https://camerasaigon24h.com/bo-camera-full-color-visioncop.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-full-color-visioncop.html	(from https://camerasaigon24h.com/)
21:15:18	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:45%20GMT	https://camerasaigon24h.com/bo-camera-chong-trom-visioncop.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-chong-trom-visioncop.html	(from https://camerasaigon24h.com/)
21:15:19	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:45%20GMT	https://camerasaigon24h.com/lap-camera-vantech-tron-bo.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/lap-camera-vantech-tron-bo.html	(from https://camerasaigon24h.com/)
21:15:19	147699/147699	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:46%20GMT	https://camerasaigon24h.com/bo-camera-wifi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-wifi.html	(from https://camerasaigon24h.com/)
21:15:19	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:46%20GMT	https://camerasaigon24h.com/bo-camera-ip.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-ip.html	(from https://camerasaigon24h.com/)
21:15:20	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:46%20GMT	https://camerasaigon24h.com/bo-camera-trong-nha.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-trong-nha.html	(from https://camerasaigon24h.com/)
21:15:20	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:47%20GMT	https://camerasaigon24h.com/bo-camera-trong-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-trong-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:20	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:47%20GMT	https://camerasaigon24h.com/bo-camera-full-color.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-full-color.html	(from https://camerasaigon24h.com/)
21:15:21	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:47%20GMT	https://camerasaigon24h.com/bo-camera-co-thu-am.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-co-thu-am.html	(from https://camerasaigon24h.com/)
21:15:21	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:48%20GMT	https://camerasaigon24h.com/bo-camera-bao-dong.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-bao-dong.html	(from https://camerasaigon24h.com/)
21:15:21	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:48%20GMT	https://camerasaigon24h.com/bo-camera-dam-thoai-2-chieu.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/bo-camera-dam-thoai-2-chieu.html	(from https://camerasaigon24h.com/)
21:15:22	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:48%20GMT	https://camerasaigon24h.com/lap-camera-gia-re-sieu-net.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/lap-camera-gia-re-sieu-net.html	(from https://camerasaigon24h.com/)
21:15:22	147699/147699	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:48%20GMT	https://camerasaigon24h.com/camera-wifi-imou.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-wifi-imou.html	(from https://camerasaigon24h.com/)
21:15:22	1448/1448	---M--	200	added ('OK')	image/webp	etag:%22672129aeabaedb1:0%22	https://camerasaigon24h.com/camerasaigon24h/images/lap-camera-wifi-imou-mn.webp	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camerasaigon24h/images/lap-camera-wifi-imou-mn.webp	(from https://camerasaigon24h.com/)
21:15:23	147709/147709	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:49%20GMT	https://camerasaigon24h.com/dau-ghi-camera-imou.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/dau-ghi-camera-imou.html	(from https://camerasaigon24h.com/)
21:15:23	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:49%20GMT	https://camerasaigon24h.com/camera-imou-lap-trong-nha.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-imou-lap-trong-nha.html	(from https://camerasaigon24h.com/)
21:15:23	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:51%20GMT	https://camerasaigon24h.com/camera-wifi-imou-cube.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-wifi-imou-cube.html	(from https://camerasaigon24h.com/)
21:15:24	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:51%20GMT	https://camerasaigon24h.com/camera-full-color-imou-trong-nha.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-full-color-imou-trong-nha.html	(from https://camerasaigon24h.com/)
21:15:24	147712/147712	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:51%20GMT	https://camerasaigon24h.com/camera-360-imou-trong-nha.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-360-imou-trong-nha.html	(from https://camerasaigon24h.com/)
21:15:24	2030/2030	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2010%20Aug%202025%2014:15:52%20GMT	https://camerasaigon24h.com/ipc-s2xp-10m0wed-imou.htm	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/ipc-s2xp-10m0wed-imou.30.delayed	(from https://camerasaigon24h.com/)
21:15:25	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:52%20GMT	https://camerasaigon24h.com/camera-imou-lap-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-imou-lap-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:25	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:52%20GMT	https://camerasaigon24h.com/camera-wifi-than-imou.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-wifi-than-imou.html	(from https://camerasaigon24h.com/)
21:15:25	147713/147713	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:53%20GMT	https://camerasaigon24h.com/camera-360-imou-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-360-imou-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:26	147712/147712	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:53%20GMT	https://camerasaigon24h.com/camera-full-color-imou-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-full-color-imou-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:26	147712/147712	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:54%20GMT	https://camerasaigon24h.com/camera-2-mat-imou-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-2-mat-imou-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:26	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:54%20GMT	https://camerasaigon24h.com/camera-dung-pin-imou.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-dung-pin-imou.html	(from https://camerasaigon24h.com/)
21:15:27	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:54%20GMT	https://camerasaigon24h.com/camera-dung-sim-4g-imou.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-dung-sim-4g-imou.html	(from https://camerasaigon24h.com/)
21:15:27	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:54%20GMT	https://camerasaigon24h.com/camera-2-mat-imou.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-2-mat-imou.html	(from https://camerasaigon24h.com/)
21:15:27	2030/2030	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2010%20Aug%202025%2014:15:55%20GMT	https://camerasaigon24h.com/ipc-s7up-11m0wed.htm	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/ipc-s7up-11m0wed.39.delayed	(from https://camerasaigon24h.com/)
21:15:28	147699/147699	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:55%20GMT	https://camerasaigon24h.com/camera-wifi-ezviz.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-wifi-ezviz.html	(from https://camerasaigon24h.com/)
21:15:28	1678/1678	---M--	200	added ('OK')	image/webp	etag:%2232623aeabaedb1:0%22	https://camerasaigon24h.com/camerasaigon24h/images/lap-camera-wifi-ezviz-mn.webp	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camerasaigon24h/images/lap-camera-wifi-ezviz-mn.webp	(from https://camerasaigon24h.com/)
21:15:28	2030/2030	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2010%20Aug%202025%2014:15:56%20GMT	https://camerasaigon24h.com/cs-x5s-r100-4w-ezviz.htm	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/cs-x5s-r100-4w-ezviz.3c.delayed	(from https://camerasaigon24h.com/)
21:15:29	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:56%20GMT	https://camerasaigon24h.com/camera-ezviz-lap-trong-nha.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-ezviz-lap-trong-nha.html	(from https://camerasaigon24h.com/)
21:15:29	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:56%20GMT	https://camerasaigon24h.com/camera-wifi-ezviz-cube.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-wifi-ezviz-cube.html	(from https://camerasaigon24h.com/)
21:15:29	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:57%20GMT	https://camerasaigon24h.com/camera-full-color-ezviz-trong-nha.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-full-color-ezviz-trong-nha.html	(from https://camerasaigon24h.com/)
21:15:30	147712/147712	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:57%20GMT	https://camerasaigon24h.com/camera-360-ezviz-trong-nha.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-360-ezviz-trong-nha.html	(from https://camerasaigon24h.com/)
21:15:30	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:57%20GMT	https://camerasaigon24h.com/camera-2-mat-ezviz-trong-nha.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-2-mat-ezviz-trong-nha.html	(from https://camerasaigon24h.com/)
21:15:30	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:58%20GMT	https://camerasaigon24h.com/camera-ezviz-lap-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-ezviz-lap-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:31	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:58%20GMT	https://camerasaigon24h.com/camera-wifi-than-ezviz.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-wifi-than-ezviz.html	(from https://camerasaigon24h.com/)
21:15:31	147712/147712	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:58%20GMT	https://camerasaigon24h.com/camera-full-color-ezviz-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-full-color-ezviz-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:31	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:58%20GMT	https://camerasaigon24h.com/camera-360-ezviz-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-360-ezviz-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:32	147712/147712	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:59%20GMT	https://camerasaigon24h.com/camera-2-mat-ezviz-ngoai-troi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-2-mat-ezviz-ngoai-troi.html	(from https://camerasaigon24h.com/)
21:15:32	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:59%20GMT	https://camerasaigon24h.com/camera-dung-pin-ezviz.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-dung-pin-ezviz.html	(from https://camerasaigon24h.com/)
21:15:32	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:15:59%20GMT	https://camerasaigon24h.com/camera-dung-sim-4g-ezviz.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-dung-sim-4g-ezviz.html	(from https://camerasaigon24h.com/)
21:15:33	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:00%20GMT	https://camerasaigon24h.com/camera-2-mat-ezviz.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-2-mat-ezviz.html	(from https://camerasaigon24h.com/)
21:15:33	2030/2030	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2010%20Aug%202025%2014:16:00%20GMT	https://camerasaigon24h.com/ezviz-cs-h80f-r100-8g444wkfl.htm	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/ezviz-cs-h80f-r100-8g444wkfl.4a.delayed	(from https://camerasaigon24h.com/)
21:15:33	147699/147699	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:00%20GMT	https://camerasaigon24h.com/camera-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-dahua.html	(from https://camerasaigon24h.com/)
21:15:34	756/756	---M--	200	added ('OK')	image/webp	etag:%22f61275adabaedb1:0%22	https://camerasaigon24h.com/camerasaigon24h/images/camera-dahua.webp	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camerasaigon24h/images/camera-dahua.webp	(from https://camerasaigon24h.com/)
21:15:34	147698/147698	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:01%20GMT	https://camerasaigon24h.com/dau-ghi-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/dau-ghi-dahua.html	(from https://camerasaigon24h.com/)
21:15:34	147701/147701	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:01%20GMT	https://camerasaigon24h.com/dau-ghi-xvr-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/dau-ghi-xvr-dahua.html	(from https://camerasaigon24h.com/)
21:15:35	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:02%20GMT	https://camerasaigon24h.com/dau-ghi-nvr-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/dau-ghi-nvr-dahua.html	(from https://camerasaigon24h.com/)
21:15:35	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:02%20GMT	https://camerasaigon24h.com/dau-ghi-poe-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/dau-ghi-poe-dahua.html	(from https://camerasaigon24h.com/)
21:15:35	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:02%20GMT	https://camerasaigon24h.com/dau-ghi-2-hdd-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/dau-ghi-2-hdd-dahua.html	(from https://camerasaigon24h.com/)
21:15:36	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:03%20GMT	https://camerasaigon24h.com/dau-ghi-4-o-cung-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/dau-ghi-4-o-cung-dahua.html	(from https://camerasaigon24h.com/)
21:15:36	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:03%20GMT	https://camerasaigon24h.com/dau-ghi-8-hdd-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/dau-ghi-8-hdd-dahua.html	(from https://camerasaigon24h.com/)
21:15:37	147699/147699	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:03%20GMT	https://camerasaigon24h.com/lap-dat-camera-cong-nghe-cvi.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/lap-dat-camera-cong-nghe-cvi.html	(from https://camerasaigon24h.com/)
21:15:37	147710/147710	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:04%20GMT	https://camerasaigon24h.com/camera-ip-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-ip-dahua.html	(from https://camerasaigon24h.com/)
21:15:37	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:04%20GMT	https://camerasaigon24h.com/camera-ip-dome-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-ip-dome-dahua.html	(from https://camerasaigon24h.com/)
21:15:38	147711/147711	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2014:16:04%20GMT	https://camerasaigon24h.com/camera-ip-than-dahua.html	C:/My%20Web%20Sites/cctv/camerasaigon24h.com/camera-ip-than-dahua.html	(from https://camerasaigon24h.com/)
